city,timestamp,aqi,pm2_5,pm10,co,no2,o3,so2,nh3,no,temperature,humidity,wind_speed,hour,day,month,day_of_week,aqi_lag_1,aqi_lag_2,aqi_change,aqi_rolling_mean_3,target_aqi
Islamabad,2026-08-01 13:00:00+00:00,84,28.0,30.37,327.98,6.66,94.47,1.3,2.8,0.32,30.4,69,1.52,13,1,8,5,78.0,77.0,6.0,79.66666666666667,94.0
Islamabad,2026-08-01 14:00:00+00:00,94,32.56,36.2,440.24,14.09,71.09,1.38,4.71,0.11,29.1,77,0.95,14,1,8,5,84.0,78.0,10.0,85.33333333333333,105.0
Islamabad,2026-08-01 15:00:00+00:00,105,37.01,41.96,533.75,18.64,55.59,1.4,5.58,0.0,28.3,80,0.89,15,1,8,5,94.0,84.0,11.0,94.33333333333333,117.0
Islamabad,2026-08-01 16:00:00+00:00,117,41.84,47.98,607.78,21.97,47.41,1.62,7.02,0.0,28.0,80,1.17,16,1,8,5,105.0,94.0,12.0,105.33333333333333,128.0
Islamabad,2026-08-01 17:00:00+00:00,128,46.39,53.57,670.79,24.77,43.27,2.04,9.73,0.0,27.6,80,1.17,17,1,8,5,117.0,105.0,11.0,116.66666666666667,136.0
Islamabad,2026-08-01 18:00:00+00:00,136,49.64,57.52,721.97,27.03,39.21,2.33,11.82,0.0,27.7,84,0.95,18,1,8,5,128.0,117.0,8.0,127.0,147.0
Islamabad,2026-08-01 19:00:00+00:00,147,54.09,62.22,747.75,28.15,36.04,2.45,12.79,0.0,27.1,87,0.97,19,1,8,5,136.0,128.0,11.0,137.0,153.0
Islamabad,2026-08-01 20:00:00+00:00,153,59.46,67.76,765.44,28.1,34.72,2.53,13.41,0.0,26.8,88,1.52,20,1,8,5,147.0,136.0,6.0,145.33333333333334,156.0
Islamabad,2026-08-01 21:00:00+00:00,156,65.36,73.77,779.16,27.15,34.37,2.59,13.35,0.0,26.5,87,1.94,21,1,8,5,153.0,147.0,3.0,152.0,156.0
Islamabad,2026-08-01 22:00:00+00:00,156,65.63,73.83,779.02,24.0,33.56,2.23,9.41,0.01,26.3,85,2.1,22,1,8,5,156.0,153.0,0.0,155.0,155.0
Islamabad,2026-08-01 23:00:00+00:00,155,62.61,69.99,778.44,20.93,32.69,1.97,5.1,0.02,24.4,92,3.94,23,1,8,5,156.0,156.0,-1.0,155.66666666666666,155.0
