city,timestamp,aqi,pm2_5,pm10,co,no2,o3,so2,nh3,no,temperature,humidity,wind_speed,hour,day_of_week,day_of_month,month,aqi_lag_1,aqi_lag_3,aqi_lag_6,aqi_lag_24,aqi_rolling_3,aqi_rolling_6,aqi_rolling_24
Islamabad,2026-07-25 00:00:00+00:00,3,35.88,42.68,754.76,19.81,22.89,0.99,37.41,0.02,25.4,79,2.01,0,5,25,7,3.0,3.0,3.0,3.0,3.0,3.0,2.7916666666666665
Islamabad,2026-07-25 01:00:00+00:00,3,33.24,39.39,648.69,14.8,40.93,1.38,37.27,0.01,25.2,83,0.95,1,5,25,7,3.0,3.0,3.0,3.0,3.0,3.0,2.7916666666666665
Islamabad,2026-07-25 02:00:00+00:00,3,33.07,38.63,617.3,12.84,47.54,1.85,33.37,0.28,26.5,79,0.27,2,5,25,7,3.0,3.0,3.0,3.0,3.0,3.0,2.7916666666666665
Islamabad,2026-07-25 03:00:00+00:00,3,33.93,38.67,621.02,12.27,51.92,2.15,24.86,0.53,27.0,76,0.89,3,5,25,7,3.0,3.0,3.0,3.0,3.0,3.0,2.7916666666666665
Islamabad,2026-07-25 04:00:00+00:00,3,32.12,35.33,520.27,7.78,76.14,2.42,8.73,0.23,26.9,77,1.71,4,5,25,7,3.0,3.0,3.0,2.0,3.0,3.0,2.7916666666666665
Islamabad,2026-07-25 05:00:00+00:00,3,33.91,36.25,503.71,5.78,90.02,2.19,6.99,0.35,27.2,80,2.46,5,5,25,7,3.0,3.0,3.0,2.0,3.0,3.0,2.833333333333333
Islamabad,2026-07-25 06:00:00+00:00,3,36.57,38.54,514.57,4.46,101.87,1.81,6.94,0.34,25.9,90,2.35,6,5,25,7,3.0,3.0,3.0,3.0,3.0,3.0,2.875
Islamabad,2026-07-25 07:00:00+00:00,3,29.72,31.1,483.3,3.01,114.91,1.22,5.02,0.22,25.4,94,2.34,7,5,25,7,3.0,3.0,3.0,3.0,3.0,3.0,2.875
Islamabad,2026-07-25 08:00:00+00:00,3,29.62,30.86,495.59,3.04,113.94,1.03,4.95,0.2,25.2,93,1.8,8,5,25,7,3.0,3.0,3.0,3.0,3.0,3.0,2.875
Islamabad,2026-07-25 09:00:00+00:00,3,31.72,32.97,526.45,3.6,109.2,1.03,5.11,0.21,25.3,93,1.45,9,5,25,7,3.0,3.0,3.0,3.0,3.0,3.0,2.875
Islamabad,2026-07-25 10:00:00+00:00,3,32.56,33.89,545.18,4.13,104.62,1.05,5.38,0.22,25.7,93,1.15,10,5,25,7,3.0,3.0,3.0,3.0,3.0,3.0,2.875
Islamabad,2026-07-25 11:00:00+00:00,3,32.82,34.2,556.47,4.62,101.22,1.07,5.98,0.25,26.1,87,1.36,11,5,25,7,3.0,3.0,3.0,3.0,3.0,3.0,2.875
Islamabad,2026-07-25 12:00:00+00:00,3,32.92,34.31,564.68,5.31,98.27,1.07,6.61,0.28,27.6,77,2.52,12,5,25,7,3.0,3.0,3.0,3.0,3.0,3.0,2.875
Islamabad,2026-07-25 13:00:00+00:00,3,33.14,34.67,576.07,6.39,95.1,1.06,7.54,0.21,27.3,81,1.63,13,5,25,7,3.0,3.0,3.0,2.0,3.0,3.0,2.875
Islamabad,2026-07-25 14:00:00+00:00,3,32.95,34.68,586.35,7.42,89.53,1.06,8.28,0.05,26.6,85,1.02,14,5,25,7,3.0,3.0,3.0,2.0,3.0,3.0,2.9166666666666665
Islamabad,2026-07-25 15:00:00+00:00,3,32.45,34.31,591.27,7.42,85.89,1.02,8.32,0.0,26.0,88,0.82,15,5,25,7,3.0,3.0,3.0,2.0,3.0,3.0,2.958333333333333
Islamabad,2026-07-25 16:00:00+00:00,3,32.65,34.73,594.96,7.29,81.55,0.99,8.65,0.0,25.7,91,0.6,16,5,25,7,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Islamabad,2026-07-25 17:00:00+00:00,3,34.18,36.67,605.85,7.55,76.29,0.97,9.49,0.0,25.6,92,0.28,17,5,25,7,3.0,3.0,3.0,3.0,3.0,3.0,3.0
