feature,importance
remainder__aqi_lag_1,0.8549713533820216
remainder__pm2_5,0.07183277140677183
remainder__pm10,0.054868328317216455
remainder__o3,0.01062603064236622
remainder__aqi_rolling_3,0.0052842529306805636
remainder__aqi_rolling_6,0.000687386248470758
remainder__co,0.0003738238469659022
remainder__no2,0.0002781541019546615
remainder__nh3,0.00026625638801104797
remainder__aqi_rolling_24,0.00022707760312328635
remainder__no,0.000129993109203623
remainder__so2,0.00011121849649753581
remainder__humidity,9.25682422314945e-05
remainder__aqi_lag_3,6.171087179891834e-05
remainder__wind_speed,5.7940020717575744e-05
remainder__temperature,4.460431717011542e-05
remainder__day_of_month,3.688086502881235e-05
remainder__hour,3.395073039007945e-05
remainder__day_of_week,9.419702710068602e-06
city__city_Quetta,6.278776669426062e-06
city__city_Islamabad,0.0
city__city_Karachi,0.0
city__city_Lahore,0.0
city__city_Peshawar,0.0
remainder__month,0.0
remainder__aqi_lag_6,0.0
remainder__aqi_lag_24,0.0
